item,page,img_number,path
Chicken,chicken,3,data/wiki_images/300px-Rooster_portrait2.jpg
Chicken,chicken,4,data/wiki_images/378px-Hen_with_chicks%2C_Raisen_district%2C_MP%2C_India.jpg
Chicken,chicken,5,data/wiki_images/200px-Cascais_Costa_do_Esteril_52_%2836583204550%29.jpg
Chicken,chicken,6,data/wiki_images/200px-Chicken_eggs.jpg
Chicken,chicken,7,data/wiki_images/200px-K%C3%BCken_vor_dem_ersten_Ausflug.jpg
Chicken,chicken,8,data/wiki_images/220px-%E0%B0%95%E0%B1%8B%E0%B0%A1%E0%B0%BF_%E0%B0%AA%E0%B0%BF%E0%B0%B2%E0%B1%8D%E0%B0%B2IMG20191207080730-01.jpg
Chicken,chicken,9,data/wiki_images/220px--Embryo.ogv.jpg
Chicken,chicken,10,data/wiki_images/250px-Gallus_gallus_male_Kaziranga_0.jpg
Chicken,chicken,11,data/wiki_images/220px-Red_Junglefowl_hen_India.jpg
Chicken,chicken,12,data/wiki_images/170px-BatteryChicken5DaysOutOfCage.jpg
Chicken,chicken,13,data/wiki_images/220px-Florida_chicken_house.jpg
Chicken,chicken,14,data/wiki_images/220px-Backyard_heritage_chickens_eating_kitchen_food_waste.jpg
Chicken,chicken,15,data/wiki_images/200px-Egg_incubator.jpg
Chicken,chicken,16,data/wiki_images/200px-Persian_Cock.jpg
Chicken,chicken,17,data/wiki_images/250px-Red_junglefowl_hm.jpg
Chicken,chicken,18,data/wiki_images/80px-Falconry_Book_of_Frederick_II_1240s_detail_falconers.jpg
Clam,clam,1,data/wiki_images/260px-Clams_on_Sandy_Hook_beaches_-_panoramio.jpg
Clam,clam,2,data/wiki_images/220px-LittleNeck_clams_USDA96c1862.jpg
Clam,clam,3,data/wiki_images/220px-Sandiego_11_bg_010706.jpg
Clam,clam,4,data/wiki_images/220px-Clams_simmering_in_white_wine_sauce.jpg
Clam,clam,5,data/wiki_images/170px-Sphenoceramus_steenstrupi.jpg
Clam,clam,6,data/wiki_images/220px-2_Tridacna_gigas.jpg
Clam,clam,7,data/wiki_images/160px-Snails-Italy.jpg
Cod,cod,1,data/wiki_images/75px-Blue_walleye.jpg
Cod,cod,2,data/wiki_images/260px-Atlantic_cod.jpg
Cod,cod,3,data/wiki_images/220px-Lernaeocera_branchialis.jpg
Cod,cod,4,data/wiki_images/220px-Preserved_Codfish_Bodara.jpg
Cod,cod,5,data/wiki_images/300px-Surexploitation_morue_surp%C3%AAcheEn.jpg
Cod,cod,6,data/wiki_images/220px-Drying_fish%2C_Burgeo%2C_NL%2C_1908.jpg
Cod,cod,7,data/wiki_images/188px-Commercial_fishing.jpg
Cod,cod,8,data/wiki_images/190px-La_p%C3%AAche_de_la_morue_%C3%A0_Terre-Neuve_en_1858-fabrication_de_l%E2%80%99huile_de_morue.jpg
Cod,cod,9,data/wiki_images/150px-La_p%C3%AAche_de_la_morue_%C3%A0_Terre-Neuve_en_1858.jpg
Cod,cod,10,data/wiki_images/250px-Carlisle_Packing_Co_floating_cannery_NOAA.jpg
Cod,cod,11,data/wiki_images/160px-Little_Girl_with_a_Cod_%28Anna_Ancher%29.jpg
Cod,cod,12,data/wiki_images/288px-Isaac_van_Duynen_-_Still_life_of_fish.jpg
Cod,cod,13,data/wiki_images/120px-Codstamp.jpg
Cod,cod,14,data/wiki_images/165px-20020810_15sant_Latvia_Postage_Stamp.jpg
Cod,cod,15,data/wiki_images/175px-DBP_1964_415_Jugend_Kabeljau.jpg
Cod,cod,16,data/wiki_images/140px-Atlantic_cod.jpg
Cod,cod,17,data/wiki_images/80px-Pacific_oysters_01.jpg
Corn,maize,1,data/wiki_images/220px-Zea_mays_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-283.jpg
Corn,maize,2,data/wiki_images/220px-Guila_Naquitz_cave.jpg
Corn,maize,3,data/wiki_images/lossy-page1-220px-The_Florentine_Codex-_Agriculture.tiff.jpg
Corn,maize,4,data/wiki_images/220px-Museo_Nacional_de_Antropolog%C3%ADa_-_MA%C3%8DZ.jpg
Corn,maize,5,data/wiki_images/170px-Corntassel_7095.jpg
Corn,maize,6,data/wiki_images/131px-Cornsilk_7091.jpg
Corn,maize,7,data/wiki_images/271px-Corn_blooming.jpg
Corn,maize,8,data/wiki_images/122px-ZeaMays.jpg
Corn,maize,9,data/wiki_images/240px-Ab_food_06.jpg
Corn,maize,10,data/wiki_images/438px-Aa_maize_ear_irregular_01.jpg
Corn,maize,11,data/wiki_images/220px-Zea_mays_%27Ottofile_giallo_Tortonese%27_MHNT.BOT.2015.34.1.jpg
Corn,maize,12,data/wiki_images/220px-Zea_mays_fraise_MHNT.BOT.2011.18.21.jpg
Corn,maize,13,data/wiki_images/220px-Dent_Corn_%27Oaxacan_Green%27_%28Zea_mays%29_MHNT_2.jpg
Corn,maize,14,data/wiki_images/220px-Corncobs.jpg
Corn,maize,15,data/wiki_images/220px-CSIRO_ScienceImage_3195_Maize_or_corn.jpg
Corn,maize,16,data/wiki_images/220px-GEM_corn.jpg
