fips,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
08119,25083,445,3.7,64850,12.5,-5,16.2,34,285.7
08121,4909,-27,2.4,47869,19.6,-3.9,23.1,16.2,285.7
08123,314305,9031,3,75629,13.2,-3.6,22.2,26.7,285.7
08125,10020,5,2,53253,16.6,-4.6,23.4,22.1,285.7
09001,943823,366,4,91183,12.7,0.1,22.2,47.4,352.1
09003,892697,-234,4.2,73037,15.5,-1,21.8,37.8,352.1
09005,181111,-599,3.8,76304,8.1,-2.6,20.3,35.1,352.1
09007,162682,-173,3.5,88709,8.1,-0.3,22,41.5,352.1
09009,857620,-174,4.4,67720,16.7,-0.5,22.3,34.9,352.1
09011,266784,-1042,4,67790,12.5,-0.2,21.7,33.3,352.1
09013,150921,-12,3.6,89584,6.4,-1.2,21.1,41.2,352.1
09015,117027,653,4.5,65182,14.8,-1.2,21.1,24.1,352.1
10001,178550,2105,4.1,54980,19.6,3.2,24.6,23.6,284.6
10003,559335,2916,3.7,69562,15.5,2.2,24.6,35.9,284.6
10005,229286,5072,3.7,59821,21.6,4.7,24.9,26.5,284.6
11001,702455,6764,5.6,82533,24.5,NA,NA,57.6,847
12001,269956,3136,3.3,51026,21.1,18.4,27.7,42.5,265.2
12003,28355,125,3.4,52804,21.7,17.1,27.8,13.4,265.2
12005,185287,1241,4,51777,20.5,17.7,28.1,22.8,265.2
12007,27732,599,3.3,45075,26,18,27.6,10.6,265.2
12009,596849,8584,3.5,57612,16.5,20.6,28.1,29.3,265.2
12011,1951260,16789,3.4,57200,17.3,23.2,28.8,31.9,265.2
12013,14587,150,4.1,38323,29.3,17.2,27.9,9.9,265.2
12015,184998,3461,4,52724,20,22.1,28.6,23.2,265.2
12017,147929,2417,5.2,41556,24.5,19.4,28.4,17.6,265.2
12019,216072,3895,3.3,62835,12.1,18.4,28,24.1,265.2
12021,378488,6143,3.4,70649,18.5,22.8,28.7,36.2,265.2
12023,70503,678,3.7,46195,26.4,17,27.6,15.6,265.2
12027,37489,237,3.8,37233,34.5,21.7,28.1,11.4,265.2
12029,16700,64,4.2,37148,31.1,18,28.1,9.4,265.2
12031,950181,12539,3.6,55733,21.8,17.9,28.2,29.2,265.2
12033,315534,2276,3.5,50644,24.4,16.8,28,26.4,265.2
12035,112067,2130,4,58975,18.4,19.5,28.2,24.4,265.2
12037,11736,-16,3.5,40297,36.6,17.8,28.3,17.1,265.2
